LIQUIDITY_PROVIDER,TOKEN,POOLNAME,FEES_COLLECTED_USD
0x2f591ddf47366c899bab6c9e73668898fbc47d75,USDT,WETH-USDT 3000 60,332971.3770567348
0x2f591ddf47366c899bab6c9e73668898fbc47d75,WETH,WETH-USDT 3000 60,332971.37705673475
0x89cd98a69ac5dcff78c5f436a5a34e90bb257b84,WETH,USDC-WETH 3000 60,323054.90970342816
0x89cd98a69ac5dcff78c5f436a5a34e90bb257b84,USDC,USDC-WETH 3000 60,323054.90970342816
0x9878fca624ea577d987c16d8ca41cd477adfd0bf,USDC,USDC-WETH 3000 60,308054.4191760302
0x9878fca624ea577d987c16d8ca41cd477adfd0bf,WETH,USDC-WETH 3000 60,308054.4191760302
0x22fa8cc33a42320385cbd3690ed60a021891cb32,FEI,FEI-USDC 10000 200,301237.34491038136
0x22fa8cc33a42320385cbd3690ed60a021891cb32,USDC,FEI-USDC 10000 200,301237.34491038136
0x2f591ddf47366c899bab6c9e73668898fbc47d75,WETH,LINK-WETH 3000 60,291495.58782041306
0x2f591ddf47366c899bab6c9e73668898fbc47d75,LINK,LINK-WETH 3000 60,291495.58782041306
0x136db1cdff916f3a9269519a6e453586a9a4c025,WETH,WETH-USDT 3000 60,288225.68055908184
0x136db1cdff916f3a9269519a6e453586a9a4c025,USDT,WETH-USDT 3000 60,288225.68055908184
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,LINK,LINK-WETH 3000 60,284885.667454545
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,WETH,LINK-WETH 3000 60,284885.667454545
0x3f0f84b1a06c4281617be9af650395bf71660035,USDT,WETH-USDT 3000 60,281433.03573115444
0x3f0f84b1a06c4281617be9af650395bf71660035,WETH,WETH-USDT 3000 60,281433.03573115444
0x44f51503b633060bbd54963710da9888a8ba5b49,WETH,WETH-USDT 3000 60,275197.00327823835
0x44f51503b633060bbd54963710da9888a8ba5b49,USDT,WETH-USDT 3000 60,275197.0032782383
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,FEI,FEI-USDC 3000 60,271466.4227207806
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,USDC,FEI-USDC 3000 60,271466.42272078054
0xd71f271ffa7a6580e5710feb7279d795a8272a66,USDT,WETH-USDT 3000 60,263101.0183799009
0xd71f271ffa7a6580e5710feb7279d795a8272a66,WETH,WETH-USDT 3000 60,263101.0183799009
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,WETH,WBTC-WETH 3000 60,250986.5040424904
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,WBTC,WBTC-WETH 3000 60,250986.5040424904
0x8d89eda15d91ad6bc96c42bbedabfd3f2e16fca8,WETH,USDC-WETH 3000 60,245951.6978408472
0x8d89eda15d91ad6bc96c42bbedabfd3f2e16fca8,USDC,USDC-WETH 3000 60,245951.69784084716
0xa019a71f73922f5170031f99efc37f31d3020f0b,USDC,USDC-WETH 3000 60,244997.7295926945
0xa019a71f73922f5170031f99efc37f31d3020f0b,WETH,USDC-WETH 3000 60,244997.72959269446
0xb0b0f6f13a5158eb67724282f586a552e75b5728,USDC,USDC-WETH 3000 60,233338.81553292825
0xb0b0f6f13a5158eb67724282f586a552e75b5728,WETH,USDC-WETH 3000 60,233338.81553292825
0x4636650a4be0f6bfa226c31b537349e9d43df6c0,TRIBE,WETH-TRIBE 3000 60,232773.39829414603
0x4636650a4be0f6bfa226c31b537349e9d43df6c0,WETH,WETH-TRIBE 3000 60,232773.39829414603
0x600b8a34ec1cfd8b8af78cfc49708419a16ea2e8,WETH,WBTC-WETH 3000 60,223248.34378240452
0x600b8a34ec1cfd8b8af78cfc49708419a16ea2e8,WBTC,WBTC-WETH 3000 60,223248.3437824045
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,DAI,DAI-WETH 3000 60,216369.40707086155
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,WETH,DAI-WETH 3000 60,216369.40707086155
0xece09032ef138573714beec20aacdd10f76b2b8a,WETH,WETH-USDT 3000 60,215351.1319602797
0xece09032ef138573714beec20aacdd10f76b2b8a,USDT,WETH-USDT 3000 60,215351.13196027966
0x9ed6603cfa021baf782472587caa6a1e1053b30f,USDC,USDC-WETH 3000 60,211466.2685612729
0x9ed6603cfa021baf782472587caa6a1e1053b30f,WETH,USDC-WETH 3000 60,211466.26856127288
0x5815d8951967e202d9b5380fed6c9f0a7fc71c5c,USDT,WETH-USDT 3000 60,206467.18458708795
0x5815d8951967e202d9b5380fed6c9f0a7fc71c5c,WETH,WETH-USDT 3000 60,206467.18458708795
0xb432863b3857f1cd9d78f5856a8d20693a8bc1a0,USDC,USDC-WETH 3000 60,196301.46514096306
0xb432863b3857f1cd9d78f5856a8d20693a8bc1a0,WETH,USDC-WETH 3000 60,196301.46514096306
0x2a0bab0e06dff1ddf1c54e32a5632eba674ba87f,WETH,USDC-WETH 3000 60,192737.57926624556
0x2a0bab0e06dff1ddf1c54e32a5632eba674ba87f,USDC,USDC-WETH 3000 60,192737.57926624556
0x967bf6cd0079860f82453bf1fa5de38f4e8c3c5c,WETH,WETH-USDT 3000 60,191131.0661368596
0x967bf6cd0079860f82453bf1fa5de38f4e8c3c5c,USDT,WETH-USDT 3000 60,191131.0661368596
0x6f949c1403c34f15ba101a515bd7a9a44f6058ef,WETH,DAI-WETH 3000 60,188287.4273393171
0x6f949c1403c34f15ba101a515bd7a9a44f6058ef,DAI,DAI-WETH 3000 60,188287.4273393171
0xd505fce5cd73172f748a14fa7113696418362e97,WETH,SHIB-WETH 10000 200,186556.71655758386
0xd505fce5cd73172f748a14fa7113696418362e97,SHIB,SHIB-WETH 10000 200,186556.71655758383
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,USDT,WETH-USDT 3000 60,185444.47142285042
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,WETH,WETH-USDT 3000 60,185444.4714228504
0xb82f45b3553f81acfe2b2dfc50ed2c7a37fa70ce,WETH,WBTC-WETH 3000 60,182887.39156703206
0xb82f45b3553f81acfe2b2dfc50ed2c7a37fa70ce,WBTC,WBTC-WETH 3000 60,182887.39156703203
0x5557c85bcb9f43403e74ad07b2bc093de8d4e24c,WETH,WETH-USDT 3000 60,181209.84774778865
0x5557c85bcb9f43403e74ad07b2bc093de8d4e24c,USDT,WETH-USDT 3000 60,181209.84774778865
0x89cd98a69ac5dcff78c5f436a5a34e90bb257b84,SHIB,SHIB-WETH 10000 200,181004.79847121963
0x89cd98a69ac5dcff78c5f436a5a34e90bb257b84,WETH,SHIB-WETH 10000 200,181004.79847121963
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,USDC,USDC-WETH 3000 60,178770.95709825982
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,WETH,USDC-WETH 3000 60,178770.95709825982
0x6068f3ef7ce91fa626609c24627519f6af0d353e,USDT,WETH-USDT 3000 60,174970.11853362547
0x6068f3ef7ce91fa626609c24627519f6af0d353e,WETH,WETH-USDT 3000 60,174970.11853362547
0x22fa8cc33a42320385cbd3690ed60a021891cb32,WETH,WETH-USDT 3000 60,174348.13915296734
0x22fa8cc33a42320385cbd3690ed60a021891cb32,USDT,WETH-USDT 3000 60,174348.13915296734
0x8d89eda15d91ad6bc96c42bbedabfd3f2e16fca8,USDC,WBTC-USDC 3000 60,173433.61472177214
0x8d89eda15d91ad6bc96c42bbedabfd3f2e16fca8,WBTC,WBTC-USDC 3000 60,173433.61472177214
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,WETH,USDC-WETH 3000 60,171145.1820315426
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,USDC,USDC-WETH 3000 60,171145.1820315426
0x7b503004695502299efb5cfd62c34cc093e0255f,USDT,WETH-USDT 3000 60,165513.44298930134
0x7b503004695502299efb5cfd62c34cc093e0255f,WETH,WETH-USDT 3000 60,165513.44298930134
0xdf63be2e473ba04c26b1609e51d08cf0d78e0913,WETH,USDC-WETH 3000 60,165267.98826134353
0xdf63be2e473ba04c26b1609e51d08cf0d78e0913,USDC,USDC-WETH 3000 60,165267.9882613435
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,WETH,SHIB-WETH 10000 200,157679.2147116721
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,SHIB,SHIB-WETH 10000 200,157679.2147116721
0x3203b5c32f09317aabcbd5ad1c7b11945a931c01,WETH,WETH-USDT 3000 60,156186.7939711098
0x3203b5c32f09317aabcbd5ad1c7b11945a931c01,USDT,WETH-USDT 3000 60,156186.7939711098
0x9df4a0116a74a709b2bfbb0201cddb84bee3f6a1,WETH,USDC-WETH 3000 60,155935.93280150072
0x9df4a0116a74a709b2bfbb0201cddb84bee3f6a1,USDC,USDC-WETH 3000 60,155935.93280150072
0x8dbe8722557b97a956bac439858d107108cf7b8a,WBTC,WBTC-WETH 3000 60,153861.23496799608
0x8dbe8722557b97a956bac439858d107108cf7b8a,WETH,WBTC-WETH 3000 60,153861.23496799608
0x3049061a9285fc7e77aa8b4088ae949f2ba6799c,USDC,USDC-WETH 3000 60,148629.92177436574
0x3049061a9285fc7e77aa8b4088ae949f2ba6799c,WETH,USDC-WETH 3000 60,148629.92177436574
0x39af6dc3587dbcb7984b21f4f85ce682aec93c6b,WETH,USDC-WETH 3000 60,146777.9694719943
0x39af6dc3587dbcb7984b21f4f85ce682aec93c6b,USDC,USDC-WETH 3000 60,146777.9694719943
0xd6804f11e1ca917df003127c7ed51dba5da6bf8b,WBTC,WBTC-USDC 3000 60,141231.54078752967
0xd6804f11e1ca917df003127c7ed51dba5da6bf8b,USDC,WBTC-USDC 3000 60,141231.54078752967
0x55e1490a1878d0b61811726e2cb96560022e764c,WETH,USDC-WETH 3000 60,139966.7034234692
0x55e1490a1878d0b61811726e2cb96560022e764c,USDC,USDC-WETH 3000 60,139966.7034234692
0xb5ef5a8b126dfbf3d2ee7a805ebb1e46924eaefa,SHIB,SHIB-WETH 10000 200,139931.33742308719
0xb5ef5a8b126dfbf3d2ee7a805ebb1e46924eaefa,WETH,SHIB-WETH 10000 200,139931.33742308719
0xd505fce5cd73172f748a14fa7113696418362e97,LEASH,LEASH-WETH 10000 200,137444.6499604276
0xd505fce5cd73172f748a14fa7113696418362e97,WETH,LEASH-WETH 10000 200,137444.6499604276
0x7b503004695502299efb5cfd62c34cc093e0255f,WETH,DAI-WETH 3000 60,136573.06553965915
0x7b503004695502299efb5cfd62c34cc093e0255f,DAI,DAI-WETH 3000 60,136573.06553965912
0x8dbe8722557b97a956bac439858d107108cf7b8a,DAI,DAI-WETH 3000 60,134208.23285172755
0x8dbe8722557b97a956bac439858d107108cf7b8a,WETH,DAI-WETH 3000 60,134208.23285172755
0x22fa8cc33a42320385cbd3690ed60a021891cb32,USDC,FEI-USDC 3000 60,133311.90182110213
0x22fa8cc33a42320385cbd3690ed60a021891cb32,FEI,FEI-USDC 3000 60,133311.90182110213
0xcf3ac2e00ca33150fadec86c9f96868184d1aed5,WETH,USDC-WETH 3000 60,128774.36045258824
0xcf3ac2e00ca33150fadec86c9f96868184d1aed5,USDC,USDC-WETH 3000 60,128774.36045258823
0xf0fc368ff8ea165ca3b946f681a0f57df720bee7,USDC,USDC-WETH 3000 60,128029.46097036982
0xf0fc368ff8ea165ca3b946f681a0f57df720bee7,WETH,USDC-WETH 3000 60,128029.46097036982
0x9878fca624ea577d987c16d8ca41cd477adfd0bf,WETH,WETH-USDT 3000 60,115790.53234042946
0x9878fca624ea577d987c16d8ca41cd477adfd0bf,USDT,WETH-USDT 3000 60,115790.53234042946
0x3c755a5bce7486df9945455a0727ef3a54c3d7ef,SHIB,SHIB-WETH 10000 200,114499.327794814
0x3c755a5bce7486df9945455a0727ef3a54c3d7ef,WETH,SHIB-WETH 10000 200,114499.32779481399
0x536f3992256a824e4eb3376cbc1a026b2ba4de77,USDT,WETH-USDT 3000 60,110444.9466261638
0x536f3992256a824e4eb3376cbc1a026b2ba4de77,WETH,WETH-USDT 3000 60,110444.9466261638
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,USDC,FEI-USDC 3000 60,110207.5375645996
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,FEI,FEI-USDC 3000 60,110207.53756459958
0xc45a525be77a208ef610449f30345ba5380d42dd,SHIB,SHIB-WETH 10000 200,107377.37851229911
0xc45a525be77a208ef610449f30345ba5380d42dd,WETH,SHIB-WETH 10000 200,107377.37851229911
0x8dbe8722557b97a956bac439858d107108cf7b8a,USDC,USDC-WETH 3000 60,105962.76062042668
0x8dbe8722557b97a956bac439858d107108cf7b8a,WETH,USDC-WETH 3000 60,105962.76062042666
0x1108588e618ff956eda7e07ecd281da38de7f565,PSWAP,PSWAP-WETH 10000 200,105542.69615834142
0x1108588e618ff956eda7e07ecd281da38de7f565,WETH,PSWAP-WETH 10000 200,105542.69615834142
0x908841a9d510941bc5f1d4712eb47f8196b46d90,1INCH,1INCH-USDC 10000 200,104321.06481823244
0x908841a9d510941bc5f1d4712eb47f8196b46d90,USDC,1INCH-USDC 10000 200,104321.06481823244
0xae540be685696ea465b12bbdf9e5f44603bb9ab2,USDT,WETH-USDT 3000 60,102846.69356893611
0xae540be685696ea465b12bbdf9e5f44603bb9ab2,WETH,WETH-USDT 3000 60,102846.69356893611
0x6b7afcf4c958e604f4222b1a0751c01c67ecda1b,WETH,SHIB-WETH 10000 200,102487.10783283468
0x6b7afcf4c958e604f4222b1a0751c01c67ecda1b,SHIB,SHIB-WETH 10000 200,102487.10783283468
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,WBTC,WBTC-WETH 3000 60,102312.51081994487
0x59ce4a2ac5bc3f5f225439b2993b86b42f6d3e9f,WETH,WBTC-WETH 3000 60,102312.51081994487
0x46499275b5c4d67dfa46b92d89aada3158ea392e,WETH,USDC-WETH 3000 60,101558.97603299146
0x46499275b5c4d67dfa46b92d89aada3158ea392e,USDC,USDC-WETH 3000 60,101558.97603299146
0xae38fe82ae5836d95677ab3d8b80802c4c8987ed,USDT,WETH-USDT 3000 60,101517.35813487628
0xae38fe82ae5836d95677ab3d8b80802c4c8987ed,WETH,WETH-USDT 3000 60,101517.35813487628
0xf716f34cb7fabfaa930169ec66278f525b6a1597,CEL,CEL-WETH 3000 60,99441.67585105624
0xf716f34cb7fabfaa930169ec66278f525b6a1597,WETH,CEL-WETH 3000 60,99441.67585105624
0xb52f322f7534d60807700bd8414d3c498d4cef52,WETH,USDC-WETH 3000 60,98788.21246231794
0xb52f322f7534d60807700bd8414d3c498d4cef52,USDC,USDC-WETH 3000 60,98788.21246231794
0xb40a916277fcb5db234a98ca2417444ec448b470,TRU,WETH-TRU 10000 200,98141.37488217292
0xb40a916277fcb5db234a98ca2417444ec448b470,WETH,WETH-TRU 10000 200,98141.37488217292
0xc72aed14386158960d0e93fecb83642e68482e4b,CRV,WETH-CRV 10000 200,98091.97838298808
0xc72aed14386158960d0e93fecb83642e68482e4b,WETH,WETH-CRV 10000 200,98091.97838298806
0x61495e8880ffa29da0c14dfe8f35889851f933ba,WETH,SHIB-WETH 10000 200,98060.27871750169
0x61495e8880ffa29da0c14dfe8f35889851f933ba,SHIB,SHIB-WETH 10000 200,98060.27871750169
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,WETH,WETH-USDT 3000 60,97781.48361267088
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,USDT,WETH-USDT 3000 60,97781.48361267088
0x4ec7cdf61405758f5ced5e454c0b4b0f4f043df0,USDC,USDC-WETH 3000 60,97208.84268429701
0x4ec7cdf61405758f5ced5e454c0b4b0f4f043df0,WETH,USDC-WETH 3000 60,97208.84268429701
0xe6d32a6a7f7e3a31f83921b1daa151383217cec1,WETH,USDC-WETH 3000 60,95801.8613627411
0xe6d32a6a7f7e3a31f83921b1daa151383217cec1,USDC,USDC-WETH 3000 60,95801.8613627411
0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,USDC,USDC-WETH 3000 60,95613.61577599331
0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,WETH,USDC-WETH 3000 60,95613.61577599331
0xd505fce5cd73172f748a14fa7113696418362e97,SHIB,LEASH-SHIB 10000 200,95164.49233914701
0xd505fce5cd73172f748a14fa7113696418362e97,LEASH,LEASH-SHIB 10000 200,95164.492339147
0x44a0d15bb58d98a49ea951e484a20e4725924f95,USDC,USDC-WETH 3000 60,94651.93223153849
0x44a0d15bb58d98a49ea951e484a20e4725924f95,WETH,USDC-WETH 3000 60,94651.93223153849
0x05a21704d027a9d53138cc37feb212e12314e8a3,USDT,WETH-USDT 3000 60,91896.33883080419
0x05a21704d027a9d53138cc37feb212e12314e8a3,WETH,WETH-USDT 3000 60,91896.33883080418
0xcfcce06af0ee209dfa340247199057fe619c98c9,USDC,USDC-WETH 3000 60,91645.42737372714
0xcfcce06af0ee209dfa340247199057fe619c98c9,WETH,USDC-WETH 3000 60,91645.42737372713
0xc6faafd3aeddbf369b09b7f2691dd1c09d7f3457,WETH,USDC-WETH 3000 60,91333.16206102057
0xc6faafd3aeddbf369b09b7f2691dd1c09d7f3457,USDC,USDC-WETH 3000 60,91333.16206102057
0xb03717ae4662b2eceeb64cb837d70b37d2074ef9,WBTC,WBTC-WETH 3000 60,90811.81434917722
0xb03717ae4662b2eceeb64cb837d70b37d2074ef9,WETH,WBTC-WETH 3000 60,90811.81434917722
0x908841a9d510941bc5f1d4712eb47f8196b46d90,WETH,USDC-WETH 10000 200,82872.76837267102
0x908841a9d510941bc5f1d4712eb47f8196b46d90,USDC,USDC-WETH 10000 200,82872.76837267102
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,WETH,WBTC-WETH 3000 60,82802.86606053228
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,WBTC,WBTC-WETH 3000 60,82802.86606053228
0x9b376be83cd456513181d7bbd12fec3bb9974533,WETH,USDC-WETH 3000 60,81256.67729879347
0x9b376be83cd456513181d7bbd12fec3bb9974533,USDC,USDC-WETH 3000 60,81256.67729879345
0xd505fce5cd73172f748a14fa7113696418362e97,WETH,SHIB-WETH 3000 60,81184.08675837697
0xd505fce5cd73172f748a14fa7113696418362e97,SHIB,SHIB-WETH 3000 60,81184.08675837697
0x7594ef8d710de1fd5e198909991036c1acd67364,SHIB,SHIB-WETH 10000 200,81182.6582033309
0x7594ef8d710de1fd5e198909991036c1acd67364,WETH,SHIB-WETH 10000 200,81182.6582033309
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,DAI,DAI-FEI 3000 60,80352.58098644759
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,FEI,DAI-FEI 3000 60,80352.58098644759
0xd7c9f3010efdff665ee72580ffa7b4141e56b17e,USDC,USDC-WETH 3000 60,79938.97311019892
0xd7c9f3010efdff665ee72580ffa7b4141e56b17e,WETH,USDC-WETH 3000 60,79938.97311019892
0x6a5d7be330f024771ab04a836b5e41406b7a2757,SHIB,SHIB-WETH 10000 200,75971.49028848481
0x6a5d7be330f024771ab04a836b5e41406b7a2757,WETH,SHIB-WETH 10000 200,75971.49028848481
0xcb1096e77d6eab734ffceced1fcd2d35ee6b8d15,WETH,USDC-WETH 3000 60,74746.49250929877
0xcb1096e77d6eab734ffceced1fcd2d35ee6b8d15,USDC,USDC-WETH 3000 60,74746.49250929877
0x93656fd28ab583e8e17f02c4299a8e34d5177a91,WETH,ELON-WETH 10000 200,73248.3995855193
0x93656fd28ab583e8e17f02c4299a8e34d5177a91,ELON,ELON-WETH 10000 200,73248.3995855193
0x20a8f73318334264f45713362d3133d1d170e767,WETH,WETH-USDT 3000 60,71123.3417917278
0x20a8f73318334264f45713362d3133d1d170e767,USDT,WETH-USDT 3000 60,71123.3417917278
0x115cd02b7e57045cdb72ce7fd95010f319155472,SHIB,SHIB-WETH 10000 200,70358.01809628762
0x115cd02b7e57045cdb72ce7fd95010f319155472,WETH,SHIB-WETH 10000 200,70358.0180962876
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,USDT,WETH-USDT 3000 60,69351.87438102774
0x4f58985b75eec8f14c536878a19eadf4a1960d6c,WETH,WETH-USDT 3000 60,69351.87438102774
0x94bbaf0999db51f5d957fa638520d562bbe114ed,WETH,USDC-WETH 3000 60,68861.35903692835
0x94bbaf0999db51f5d957fa638520d562bbe114ed,USDC,USDC-WETH 3000 60,68861.35903692833
0x314bfdaeff6d6326c1d3b304c6728f8714919371,USDT,WETH-USDT 3000 60,66689.02186511895
0x314bfdaeff6d6326c1d3b304c6728f8714919371,WETH,WETH-USDT 3000 60,66689.02186511895
0x55e1490a1878d0b61811726e2cb96560022e764c,USDC,FEI-USDC 3000 60,66522.09059731681
0x55e1490a1878d0b61811726e2cb96560022e764c,FEI,FEI-USDC 3000 60,66522.09059731681
0xd7c9f3010efdff665ee72580ffa7b4141e56b17e,WETH,WETH-USDT 3000 60,66167.42975793063
0xd7c9f3010efdff665ee72580ffa7b4141e56b17e,USDT,WETH-USDT 3000 60,66167.42975793063
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,WETH,USDC-WETH 3000 60,63718.08924101827
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,USDC,USDC-WETH 3000 60,63718.08924101827
0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,WOOFY,WETH-WOOFY 10000 200,63277.48855050929
0x1d5e65a087ebc3d03a294412e46ce5d6882969f4,WETH,WETH-WOOFY 10000 200,63277.48855050929
0x227d3ca7ce6e4a9a7312dc2b2756ccf0bace8f54,TRIBE,WETH-TRIBE 3000 60,61409.33512631138
0x227d3ca7ce6e4a9a7312dc2b2756ccf0bace8f54,WETH,WETH-TRIBE 3000 60,61409.33512631138
0x6b4c49474b1c85e83cff83780be5e1e1e990da85,TRU,WETH-TRU 10000 200,60809.33969966296
0x6b4c49474b1c85e83cff83780be5e1e1e990da85,WETH,WETH-TRU 10000 200,60809.33969966296
0x136db1cdff916f3a9269519a6e453586a9a4c025,USDC,USDC-WETH 3000 60,60719.35641527113
0x136db1cdff916f3a9269519a6e453586a9a4c025,WETH,USDC-WETH 3000 60,60719.35641527113
0x3e74a96138183081576c256afee02a416a7ec53a,AKITA,AKITA-WETH 10000 200,60698.856309840165
0x3e74a96138183081576c256afee02a416a7ec53a,WETH,AKITA-WETH 10000 200,60698.856309840165
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,FEI,FEI-USDC 10000 200,60530.84944543421
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,USDC,FEI-USDC 10000 200,60530.84944543421
0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,WETH,WETH-WOOFY 10000 200,59852.0681741872
0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,WOOFY,WETH-WOOFY 10000 200,59852.0681741872
0xfa425dee2f832e7b97c79db155909d96cdd412d2,USDC,USDC-WETH 3000 60,58983.653635080926
0xfa425dee2f832e7b97c79db155909d96cdd412d2,WETH,USDC-WETH 3000 60,58983.65363508092
0xdf63be2e473ba04c26b1609e51d08cf0d78e0913,DAI,DAI-WETH 3000 60,58716.87337707467
0xdf63be2e473ba04c26b1609e51d08cf0d78e0913,WETH,DAI-WETH 3000 60,58716.87337707467
0x6979b914f3a1d8c0fec2c1fd602f0e674cdf9862,USDC,USDC-WETH 3000 60,58217.43247117882
0x6979b914f3a1d8c0fec2c1fd602f0e674cdf9862,WETH,USDC-WETH 3000 60,58217.43247117882
0x2a0bab0e06dff1ddf1c54e32a5632eba674ba87f,WETH,WETH-USDT 3000 60,57467.96125562636
0x2a0bab0e06dff1ddf1c54e32a5632eba674ba87f,USDT,WETH-USDT 3000 60,57467.96125562635
0xcc7344a557cdb86f7c713527c05eaf7906e1abab,WETH,DAI-WETH 3000 60,57364.012622577495
0xcc7344a557cdb86f7c713527c05eaf7906e1abab,DAI,DAI-WETH 3000 60,57364.012622577495
0x5815d8951967e202d9b5380fed6c9f0a7fc71c5c,WETH,USDC-WETH 3000 60,56477.87535815284
0x5815d8951967e202d9b5380fed6c9f0a7fc71c5c,USDC,USDC-WETH 3000 60,56477.87535815284
0xa982e3fad32817bb175de02410fb0302780adee7,WETH,WETH-USDT 3000 60,56431.09071405124
0xa982e3fad32817bb175de02410fb0302780adee7,USDT,WETH-USDT 3000 60,56431.090714051235
0x8f27fa136ff4da1796368380019029d81d12d06d,WETH,WETH-USDT 3000 60,55786.59175154314
